,Index,recipe_id,recipe_name,ingredients,cooking_directions,prep_time,cook_time,total_time,Difficulty,image_url
0,0,87211,Chicken Pesto Paninis,focaccia bread quartered^prepared basil pesto^diced cooked chicken^diced green bell pepper^diced red onion^shredded Monterey Jack cheese,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  5 m  ^  Ready In  ^  20 m  ^  Preheat a panini grill.  ^  Slice each quarter of focaccia bread in half horizontally. Spread each half with pesto. Layer bottom halves with equal amounts chicken, bell pepper, onion, and cheese. Top with remaining focaccia halves, forming 4 sandwiches.  ^   ^Grill paninis 5 minutes in the preheated grill, or until focaccia bread is golden brown and cheese is melted.   ^]",15,5,20,easy,https://images.media-allrecipes.com/userphotos/720x405/3852182.jpg
1,1,244856,Turkey Black Bean Burgers,extra lean ground turkey^cooked black beans coarsely chopped^chopped onion^chopped tomato^chopped fresh parsley^egg white^garlic^dried oregano^ground cumin^sea salt and ground black pepper to taste,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  8 m  ^  Ready In  ^  18 m  ^  Combine turkey, black beans, onion, tomato, parsley, egg white, garlic, oregano, cumin, salt, and pepper together in a bowl until well combined; form into 4 patties.  ^   ^Heat a greased skillet over medium heat; cook patties until no longer pink in the center, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).   ^]",10,8,18,easy,https://images.media-allrecipes.com/userphotos/720x405/1104734.jpg
2,2,244786,Zucchini Noodles and Summer Vegetables with Sweet Pepper Chicken Sausage,zucchini cut into noodle-shape strands^extra-virgin olive oil^chopped green bell pepper^chopped white onion^seasoned salt (such as Spike® seasoning)^sea salt and freshly ground black pepper to taste^sweet pepper chicken sausages^lightly torn fresh spinach^chopped fresh basil^garlic paste^large tomato^shredded Parmesan cheese,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  12 m  ^  Ready In  ^  27 m  ^  Bring a pot of lightly salted water to a boil. Cook zucchini noodles (zoodles) in the boiling water until tender yet firm to the bite, about 3 minutes; drain.  ^  Heat 1 tablespoon olive oil in a skillet over medium heat; cook and stir green bell pepper, onion, seasoned salt, and sea salt for 3 minutes. Add chicken sausage and cook until sausage is lightly browned, 4 to 5 minutes. Add spinach, basil, garlic paste, and seasoned salt to taste; cook until spinach is wilted, 2 to 3 minutes.  ^   ^Place zoodles on a serving plate and toss with remaining 1 tablespoon olive oil and sea salt. Add sausage mixture and tomatoes and top with Parmesan cheese; season with salt and pepper.   ^]",15,12,27,easy,https://images.media-allrecipes.com/userphotos/720x405/4515786.jpg
3,3,260453,Fresh Balsamic Chicken Salad,balsamic vinegar^English cucumbers thinly sliced^pint grape tomatoes halved^cooked chicken breast^olive oil^salt and ground black pepper to taste,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  11 m  ^  Ready In  ^  26 m  ^  Heat balsamic vinegar in a small saucepan over medium heat. Bring to a boil, stirring constantly to prevent burning and reducing heat if necessary. Cook and stir until reduced to a syrup-like consistency, 6 to 8 minutes.  ^   ^Combine cucumbers, tomatoes, and chicken breast in a large bowl. Drizzle the balsamic reduction and olive oil on top; toss to coat. Season with salt and pepper.   ^]",15,11,26,easy,https://images.media-allrecipes.com/userphotos/720x405/2118998.jpg
4,4,25507,Mock Sliders,corned beef^sour cream^envelope dry onion soup mix^dinner rolls^dill pickle slices drained,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  1 m  ^  Ready In  ^  16 m  ^  In a medium bowl, mix together corned beef, sour cream and dry onion soup mix.  ^  Cut rolls in half horizontally. Spread bottoms with the corned beef mixture. Replace tops.  ^   ^Microwave 30 to 45 seconds on high heat, until hot and moist. Top with dill pickle slices before serving.   ^]",15,1,16,easy,https://images.media-allrecipes.com/userphotos/720x405/5064680.jpg
5,5,238886,Midnight Snack Avocado Sandwich,bacon^green onions^mayonnaise^wheat bread toasted^avocado mashed^tomato^alfalfa sprouts^salt and ground black pepper to taste,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  5 m  ^  Ready In  ^  20 m  ^  Place the bacon in a large skillet and cook over medium-high heat, turning occasionally, until almost browned, 2 to 3 minutes. Add green onion to bacon; cook and stir until onion is soft and bacon is crisp, 3 to 5 minutes more.  ^   ^Spread mayonnaise on one side of each slice of toast. Spread mashed avocado onto one side of one piece of toast. Top avocado with tomato slices, sprouts, and bacon mixture; sprinkle with salt and black pepper. Place remaining slice of toast on top.   ^]",15,5,20,easy,https://images.media-allrecipes.com/userphotos/250x250/20893.jpg
6,6,239547,Parmesan Chicken Mini Pies,Pillsbury® refrigerated seamless dough sheet^Tyson® frozen popcorn chicken^tomato pasta sauce^shredded Parmesan cheese,"[  ^ directions : Prep  ^,  10 m  ^  Cook  ^  15 m  ^  Ready In  ^  40 m  ^  Heat oven to 375 degrees F. Grease 12 regular size muffin cups with cooking spray.  ^  Remove dough from can; press to 8x18 inch rectangle. Cut dough evenly into 12 squares. Press dough squares into muffin cups.  ^   ^Microwave chicken pieces on microwaveable plate 1 minute on High. Place chicken pieces in muffin cups; top each with 2 tablespoons sauce. Sprinkle with cheese. Bake 15 to 18 minutes of until golden brown.   ^]",10,15,25,easy,https://images.media-allrecipes.com/userphotos/250x250/659804.jpg
7,7,191159,Ham and Pear Panini,bread^mustard^ham^pear peeled and thinly sliced^ground black pepper^shredded mozzarella cheese^light margarine (such as I Can't Believe It's Not Butter,"[  ^ directions : Prep  ^,  5 m  ^  Cook  ^  6 m  ^  Ready In  ^  11 m  ^  Spread 2 slices of bread with the mustard. Layer each with 3 slices of ham, half of the pear slices, a dash of pepper, and 1/2 cup mozzarella cheese. Top with remaining bread. Lightly spread margarine on the outer sides of each sandwich.  ^   ^Heat a skillet or griddle over medium heat. Grill the sandwiches until the cheese is melted and the bread is golden brown, about 3 minutes per side. Cut each sandwich in half to serve.   ^]",5,6,11,easy,https://images.media-allrecipes.com/userphotos/250x250/822061.jpg
8,8,245367,Pan-Roasted Chicken Breasts,boneless chicken breast halves with skin^salt and freshly ground black pepper to taste^chopped fresh herbs (thyme parsley^olive oil^apple cider vinegar^cold butter^chicken broth (or water),"[  ^ directions : Prep  ^,  5 m  ^  Cook  ^  12 m  ^  Ready In  ^  17 m  ^  Season chicken on both sides with salt and pepper.  ^  Heat olive oil in a heavy skillet over medium-high heat until it starts to shimmer. Place chicken breasts in skillet skin side down. Sprinkle with fresh herbs. Do not disturb the breasts until the skin side sears, 5 or 6 minutes. Turn chicken.  ^   ^Cook until internal temperature reaches 150 degrees F, about 5 minutes. Add vinegar and butter to pan with chicken. Shake pan gently until butter melts and internal temperature of chicken reaches 160 to 165 degrees F, 2 to 3 minutes more. Add a splash of chicken broth or water if sauce needs to be thinned.   ^]",5,12,17,easy,https://images.media-allrecipes.com/userphotos/720x405/3598488.jpg
9,9,76164,Thai Ginger Soup,coconut milk^water^skinless boneless chicken breast halves^minced fresh ginger root^fish sauce^fresh lime juice^sliced green onions^chopped fresh cilantro,"[  ^ directions : Prep  ^,  15 m  ^  Cook  ^  10 m  ^  Ready In  ^  25 m  ^   ^Pour the coconut milk and water into a saucepan, and bring to a boil. Add the chicken strips, and reduce heat to medium. Simmer for about 3 minutes, just until the chicken is cooked through. Stir in the ginger, fish sauce and lime juice. Sprinkle in the green onions and cilantro, and serve.   ^]",15,10,25,easy,https://images.media-allrecipes.com/userphotos/720x405/2183648.jpg
