index,recipe_id,recipe_name,user_id,rating,Query 1,Query 2,Query 3,Query 4,ingredients,cooking_directions
24,56648,Gravy potatoes,,3,0,0,0,1,baking potatoes ground beef small onion condensed cream mushroom soup garlic powder salt pepper taste shredded cheddar cheese,"{'directions': u'Prep\n5 m\nCook\n1 h 15 m\nReady In\n1 h 20 m\nPreheat the oven to 450 degrees F (230 degrees C). Place potatoes directly on the oven rack, and bake for 1 hour in the preheated oven, or until tender.\nWhile the potatoes are baking, place ground beef and onion in a large skillet, and cook over medium-high heat until evenly browned. Drain grease, then stir in the soup and garlic powder. Season with salt and pepper to taste. Heat through until bubbly, then set aside and wait for the potatoes.\nWhen the potatoes are ready, reduce the oven temperature to 350 degrees F (175 degrees C). Place the potatoes into a 9x13 inch baking dish, and split them in half lengthwise. Break up the centers of the potatoes with a fork, then pour the ground beef mixture over the top. Sprinkle with shredded cheese.\nBake for 10 to 15 minutes in the preheated oven, until cheese is melted.'}"
25,74224,meat loaf pie,,3,0,0,0,1,ground beef small onion egg ketchup worcestershire sauce kernel corn unbaked pie crust prepared mashed potatoes shredded cheddar cheese,"{'directions': u'Prep\n15 m\nCook\n40 m\nReady In\n1 h\nPreheat oven to 350 degrees F (175 degrees C).\nIn a skillet over medium heat, cook and stir the ground beef and onion until beef is evenly brown. Drain, and allow to cool slightly.\nIn a bowl, mix the cooked beef and onion, egg, ketchup, and Worcestershire sauce.\nSpread the corn in the bottom of the pie crust. Layer with the beef mixture. Spoon the mashed potatoes over the beef, and top with cheese.\nBake 30 minutes in the preheated oven, until cheese is bubbly and lightly browned.'}"
26,70589,Serbian ground beef veggie potato bake,,3,1,0,0,1,ground beef olive oil green bell pepper onion carrot celery stalks paprika salt black pepper crushed red pepper ground cinnamon ground cloves water red wine beef bouillon half half potatoes,"{'directions': u'Prep\n25 m\nCook\n1 h\nReady In\n1 h 25 m\nPreheat oven to 400 degrees F (200 degrees C). Lightly grease a casserole dish.\nIn a skillet over medium heat, cook the beef until evenly brown. Remove beef from skillet, reserving juices, and set aside. Mix in the olive oil, and saute the green pepper, onion, carrot, and celery until tender.\nReturn beef to the skillet, and season with paprika, salt, black pepper, red pepper, cinnamon, and cloves. Stir in the water and red wine until heated through. Dissolve the beef bouillon cube into the mixture. Remove skillet from heat, and mix in the half-and-half.\nLayer the bottom of the prepared casserole dish with enough potato slices to cover. Place the beef and vegetable mixture over the potatoes, and top with remaining potatoes.\nCook, covered, 45 minutes in the preheated oven, or until the potatoes are tender.'}"
47,29661,Special Irish Beef Stew,,3,0,0,0,1,,"{'directions': u'Prep\n20 m\nCook\n1 h\nReady In\n1 h 20 m\nHeat oil in a Dutch oven or large pot over medium-high heat. Coat beef cubes with flour, shaking off the excess. Fry beef cubes until browned on all sides. Remove from the pot. Add the onion, mushrooms, and garlic to the pot, and cook stirring constantly until onion is tender, about 3 minutes.\nReturn beef to the pot, and stir in tomato paste, beef broth, and beer. Add potatoes and carrots, cover, and simmer over low heat for about 1 hour. Mix together the cornstarch and cold water. Stir into the stew, and simmer until thickened. Sprinkle with parsley and serve.'}"
54,223428,Savory Vegetable Beef Stew,,3,1,0,0,1,,"{'directions': u'Prep\n30 m\nCook\n2 h 30 m\nReady In\n3 h\nHeat a large skillet or Dutch oven over medium heat; cook and stir beef stew meat and Italian dressing until meat is evenly browned, about 5 minutes. Add 2 cups water, beef bouillon, diced tomatoes, beef broth, tomato sauce, garlic, bay leaf, salt, oregano, and pepper to skillet; bring to a boil. Reduce heat to medium-low, cover, and simmer until meat is tender, about 1 1/2 hours.\nPlace potatoes, carrots, bell pepper, and onion in stew; cover and simmer over medium-low heat until vegetables are tender, about 45 minutes.\nCombine flour and cold water in a small bowl; mix until smooth. Stir flour mixture into stew, bring to a boil; cook and stir until stew is thickened, about 2 minutes. Discard bay leaf before serving.'}"
55,234795,South of the Border Mashed Potatoes Meatloaf,,3,1,0,0,1,,"{'directions': u'Prep\n15 m\nCook\n1 h 20 m\nReady In\n1 h 35 m\nPreheat oven to 350 degrees F.\nPrepare mashed potatoes following package directions. Set aside.\nIn a large bowl, combine all the ingredients from beef through black pepper. Mix thoroughly but lightly.\nShape mixture into a 10x4-inch loaf. Place on rack coated with cooking spray on broiler pan.\nBake 1 hour and 20 minutes, or until internal temperature is 160 degrees F.\nLet stand 5 minutes then frost with the mashed potatoes. Top with salsa and sliced avocados.'}"
56,84745,Steff's Shepherd Pie,,3,0,0,0,1,,"{'directions': u'Prep\n5 m\nCook\n45 m\nReady In\n50 m\nPreheat an oven to 350 degrees F (175 degrees C).\nCook and stir ground beef in a skillet over medium-high heat until beef is browned, about 10 minutes. Drain fat. Mix in green beans, cream of mushroom soup, and onion.\nPour beef mixture into a 2 quart casserole dish and top with Cheddar cheese. Spread mashed potato on top.\nBake in the preheated oven until the pie is hot, and the mashed potatoes are golden brown, about 30 minutes.'}"
0,23567,Slow-Cooker Pepper Steak,12145410,5,1,0,0,0, beef sirloin garlic powder taste vegetable oil beef bouillon hot water cornstarch chopped onion large green bell peppers stewed tomatoes liquid soy sauce white sugar salt,"{'directions': u'Prep\n20 m\nCook\n4 h 10 m\nReady In\n4 h 30 m\nSprinkle strips of sirloin with garlic powder to taste. In a large skillet over medium heat, heat the vegetable oil and brown the seasoned beef strips. Transfer to a slow cooker.\nMix bouillon cube with hot water until dissolved, then mix in cornstarch until dissolved. Pour into the slow cooker with meat. Stir in onion, green peppers, stewed tomatoes, soy sauce, sugar, and salt.\nCover, and cook on High for 3 to 4 hours, or on Low for 6 to 8 hours.'}"
1,221958,Chef John's Perfect Prime Rib,12145410,5,1,0,0,0, prime rib roast unsalted butter freshly ground black pepper herbes de provence kosher salt,"{'directions': u'Prep\n10 m\nCook\n2 h 20 m\nReady In\n6 h 30 m\nPlace rib roast on a plate and bring to room temperature, about 4 hours.\nPreheat an oven to 500 degrees F (260 degrees C).\nCombine butter, pepper, and herbes de Provence in a bowl; mix until well blended. Spread butter mixture evenly over entire roast. Season roast generously with kosher salt.\nRoast the 4-pound prime rib (see footnote if using a larger and smaller roast) in the preheated oven for 20 minutes. Turn the oven off and, leaving the roast in the oven with the door closed, let the roast sit in the oven for 2 hours. Remove roast from the oven, slice, and serve.'}"
2,212632,Chicken in Creamy Sun-Dried Tomato Sauce,12145410,5,0,1,0,0, campbells® condensed cream chicken herbs soup chablis coarsely chopped pitted kalamata drained capers garlic artichoke hearts drained chopped drained coarsely chopped sun dried tomatoes skinless boneless chicken breast halves chopped fresh basil leaves optional hot cooked rice,"{'directions': u'Prep\n15 m\nCook\n7 h\nReady In\n7 h 15 m\nStir the soup, wine, olives, capers, garlic, artichokes and tomatoes in a 3 1/2-quart slow cooker. Add the chicken and turn to coat.\nCover and cook on LOW for 7 to 8 hours** or until the chicken is cooked through. Sprinkle with the basil, if desired. Serve with the rice.'}"
3,8941,Slow Cooker Chicken and Dumplings,12145410,5,0,1,0,0, skinless boneless chicken breast halves butter condensed cream chicken soup onion refrigerated biscuit dough torn pieces,"{'directions': u'Prep\n10 m\nCook\n6 h\nReady In\n6 h 10 m\nPlace the chicken, butter, soup, and onion in a slow cooker, and fill with enough water to cover.\nCover, and cook for 5 to 6 hours on High. About 30 minutes before serving, place the torn biscuit dough in the slow cooker. Cook until the dough is no longer raw in the center.'}"
4,13206,Grandma's Chicken Noodle Soup,12145410,5,0,0,1,0, wide egg noodles vegetable oil chicken broth salt poultry seasoning chopped celery chopped onion cornstarch water diced cooked chicken meat,"{'directions': u'Prep\n20 m\nCook\n25 m\nReady In\n45 m\nBring a large pot of lightly salted water to a boil. Add egg noodles and oil, and boil for 8 minutes, or until tender. Drain, and rinse under cool running water.\nIn a large saucepan or Dutch oven, combine broth, salt, and poultry seasoning. Bring to a boil. Stir in celery and onion. Reduce heat, cover, and simmer 15 minutes.\nIn a small bowl, mix cornstarch and water together until cornstarch is completely dissolved. Gradually add to soup, stirring constantly. Stir in noodles and chicken, and heat through.'}"
5,232742,Ice Cream Sandwich Cake,12145410,5,0,0,0,0, vanilla ice cream sandwiches unwrapped whipped topping cool whip® thawed hot fudge ice cream topping warmed caramel ice cream topping chopped pecans,"{'directions': u'Prep\n30 m\nReady In\n1 h\nArrange a layer of ice cream sandwiches in the bottom of a 9x13-inch dish; top with a layer of whipped topping, hot fudge topping, and caramel topping. Repeat layering with remaining ice cream sandwiches, whipped topping, hot fudge topping, and caramel topping, ending with a top layer of whipped topping. Sprinkle with pecans. Cover dish with aluminum foil and freeze until set, at least 30 minutes.'}"
6,221899,Chef John's Cottage Fries,12145410,5,0,0,0,0, baking russet potatoes salt freshly ground black pepper taste cayenne pepper herbes de provence olive oil,"{'directions': u'Prep\n10 m\nCook\n1 h\nReady In\n1 h 10 m\nPreheat oven to 425 degrees F (220 degrees C).\nLine a baking sheet with parchment paper or a silicone baking mat and set aside.\nCombine potatoes, salt, ground black pepper, cayenne pepper, and herbes de provence in a large bowl. Drizzle olive oil over potatoes and stir to evenly coat.\nPlace potatoes on baking sheet, spaced evenly, and bake in the preheated oven for 15 minutes.\nRemove from oven, flip over each potato slice, and return to the oven for another 15 minutes. Continue cooking and flipping until potatoes are well browned, about 30 minutes. Potatoes should be crispy around edges, but still soft in the center.'}"
7,9926,Cream Cheese Frosting II,12145410,5,0,0,0,0, cream cheese butter sifted confectioners sugar vanilla extract,"{'directions': u""Prep\n10 m\nReady In\n10 m\nIn a medium bowl, cream together the cream cheese and butter until creamy. Mix in the vanilla, then gradually stir in the confectioners' sugar. Store in the refrigerator after use.""}"
8,26251,Angel Hair Pasta with Garlic Shrimp and Broccoli,12145410,5,0,0,0,0, angel hair pasta butter purpose flour milk heavy cream pesto chopped fresh parsley garlic grated parmesan cheese salt divided ground white pepper worcestershire sauce hot sauce frozen broccoli florets thawed jumbo shrimp garlic,"{'directions': u'Prep\n30 m\nCook\n30 m\nReady In\n1 h\nBring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.\nMelt 1.5 tablespoons butter in a medium saucepan over medium heat. Stir in flour and cook for 2 minutes. Slowly stir in milk and cream; simmer, stirring constantly, until thickened. Mix in pesto, parsley, 3 cloves minced garlic, Parmesan cheese, 1 teaspoon salt, white pepper, Worcestershire sauce and hot sauce. Reduce heat to low and allow to simmer.\nMeanwhile, place broccoli in a steamer over 1 inch of boiling water, and cover. Cook until tender but still firm, about 2 to 6 minutes. Drain.\nMelt 1 tablespoon butter in a large skillet. Saute shrimp, remaining 3 cloves minced garlic, and 1 teaspoon salt for 5 minutes, or until shrimp are pink.\nIn a large bowl, toss pasta, shrimp and broccoli; pour sauce over and serve.'}"
